emp_id,week_of_date,prod_code,sales_year,sales_quarter,unit_sold
EMP244,2021-01-03,PROD001,2021,Q1,23
EMP244,2021-01-10,PROD001,2021,Q1,27
EMP244,2021-01-17,PROD001,2021,Q1,37
EMP244,2021-01-24,PROD001,2021,Q1,47
EMP244,2021-01-31,PROD001,2021,Q1,42
EMP244,2021-02-07,PROD001,2021,Q1,55
EMP244,2021-02-14,PROD001,2021,Q1,59
EMP244,2021-02-21,PROD001,2021,Q1,66
EMP244,2021-02-28,PROD001,2021,Q1,91
EMP244,2021-03-07,PROD001,2021,Q1,70
EMP244,2021-03-14,PROD001,2021,Q1,62
EMP244,2021-03-21,PROD001,2021,Q1,30
EMP244,2021-03-28,PROD001,2021,Q1,47
EMP244,2021-04-04,PROD001,2021,Q2,49
EMP244,2021-04-11,PROD001,2021,Q2,44
EMP244,2021-04-18,PROD001,2021,Q2,74
EMP244,2021-04-25,PROD001,2021,Q2,87
EMP244,2021-05-02,PROD001,2021,Q2,113
EMP244,2021-05-09,PROD001,2021,Q2,94
EMP244,2021-05-16,PROD001,2021,Q2,87
EMP244,2021-05-23,PROD001,2021,Q2,124
EMP244,2021-05-30,PROD001,2021,Q2,89
EMP244,2021-06-06,PROD001,2021,Q2,93
EMP244,2021-06-13,PROD001,2021,Q2,121
EMP244,2021-06-20,PROD001,2021,Q2,91
EMP244,2021-06-27,PROD001,2021,Q2,83
EMP244,2021-07-04,PROD001,2021,Q3,36
EMP244,2021-07-11,PROD001,2021,Q3,30
EMP244,2021-07-18,PROD001,2021,Q3,46
EMP244,2021-07-25,PROD001,2021,Q3,22
EMP244,2021-08-01,PROD001,2021,Q3,24
EMP244,2021-08-08,PROD001,2021,Q3,28
EMP244,2021-08-15,PROD001,2021,Q3,37
EMP244,2021-08-22,PROD001,2021,Q3,33
EMP244,2021-08-29,PROD001,2021,Q3,40
EMP244,2021-09-05,PROD001,2021,Q3,40
EMP244,2021-09-12,PROD001,2021,Q3,47
EMP244,2021-09-19,PROD001,2021,Q3,84
EMP244,2021-09-26,PROD001,2021,Q3,37
EMP244,2021-10-03,PROD001,2021,Q4,33
EMP244,2021-10-10,PROD001,2021,Q4,41
EMP244,2021-10-17,PROD001,2021,Q4,29
EMP244,2021-10-24,PROD001,2021,Q4,33
EMP244,2021-10-31,PROD001,2021,Q4,22
EMP244,2021-11-07,PROD001,2021,Q4,21
EMP244,2021-11-14,PROD001,2021,Q4,28
EMP244,2021-11-21,PROD001,2021,Q4,35
EMP244,2021-11-28,PROD001,2021,Q4,36
EMP244,2021-12-05,PROD001,2021,Q4,36
