emp_id,week_of_date,esp_code,sales_year,week_num,unit_sold
EMP234,2019-12-29,ESP001,2020,1,3
EMP234,2020-01-05,ESP001,2020,2,3
EMP234,2020-01-12,ESP001,2020,3,3
EMP234,2020-01-19,ESP001,2020,4,6
EMP234,2020-01-26,ESP001,2020,5,12
EMP234,2020-02-02,ESP001,2020,6,7
EMP234,2020-02-09,ESP001,2020,7,6
EMP234,2020-02-16,ESP001,2020,8,7
EMP234,2020-02-23,ESP001,2020,9,5
EMP234,2020-03-01,ESP001,2020,10,3
EMP234,2020-03-08,ESP001,2020,11,1
EMP234,2020-03-15,ESP001,2020,12,1
EMP234,2020-03-22,ESP001,2020,13,0
EMP234,2020-03-29,ESP001,2020,14,1
EMP234,2020-04-05,ESP001,2020,15,2
EMP234,2020-04-12,ESP001,2020,16,4
EMP234,2020-04-19,ESP001,2020,17,8
EMP234,2020-04-26,ESP001,2020,18,6
EMP234,2020-05-03,ESP001,2020,19,7
EMP234,2020-05-10,ESP001,2020,20,5
EMP234,2020-05-17,ESP001,2020,21,7
EMP234,2020-05-24,ESP001,2020,22,9
EMP234,2020-05-31,ESP001,2020,23,11
EMP234,2020-06-07,ESP001,2020,24,11
EMP234,2020-06-14,ESP001,2020,25,8
EMP234,2020-06-21,ESP001,2020,26,6
EMP234,2020-06-28,ESP001,2020,27,7
EMP234,2020-07-05,ESP001,2020,28,4
EMP234,2020-07-12,ESP001,2020,29,4
EMP234,2020-07-19,ESP001,2020,30,4
EMP234,2020-07-26,ESP001,2020,31,6
EMP234,2020-08-02,ESP001,2020,32,8
EMP234,2020-08-09,ESP001,2020,33,13
EMP234,2020-08-16,ESP001,2020,34,10
EMP234,2020-08-23,ESP001,2020,35,7
EMP234,2020-08-30,ESP001,2020,36,4
EMP234,2020-09-06,ESP001,2020,37,7
EMP234,2020-09-13,ESP001,2020,38,9
EMP234,2020-09-20,ESP001,2020,39,7
EMP234,2020-09-27,ESP001,2020,40,3
EMP234,2020-10-04,ESP001,2020,41,1
EMP234,2020-10-11,ESP001,2020,42,2
EMP234,2020-10-18,ESP001,2020,43,1
EMP234,2020-10-25,ESP001,2020,44,1
EMP234,2020-11-01,ESP001,2020,45,0
EMP234,2020-11-08,ESP001,2020,46,0
EMP234,2020-11-15,ESP001,2020,47,0
EMP234,2020-11-22,ESP001,2020,48,0
EMP234,2020-11-29,ESP001,2020,49,0
EMP234,2020-12-06,ESP001,2020,50,0
EMP234,2020-12-13,ESP001,2020,51,0
EMP234,2020-12-20,ESP001,2020,52,0
EMP234,2021-01-03,ESP001,2021,1,0
EMP234,2021-01-10,ESP001,2021,2,0
EMP234,2021-01-17,ESP001,2021,3,0
EMP234,2021-01-24,ESP001,2021,4,3
EMP234,2021-01-31,ESP001,2021,5,3
EMP234,2021-02-07,ESP001,2021,6,5
EMP234,2021-02-14,ESP001,2021,7,4
EMP234,2021-02-21,ESP001,2021,8,8
EMP234,2021-02-28,ESP001,2021,9,13
EMP234,2021-03-07,ESP001,2021,10,7
EMP234,2021-03-14,ESP001,2021,11,4
EMP234,2021-03-21,ESP001,2021,12,2
EMP234,2021-03-28,ESP001,2021,13,2
EMP234,2021-04-04,ESP001,2021,14,3
EMP234,2021-04-11,ESP001,2021,15,3
EMP234,2021-04-18,ESP001,2021,16,7
EMP234,2021-04-25,ESP001,2021,17,8
EMP234,2021-05-02,ESP001,2021,18,8
EMP234,2021-05-09,ESP001,2021,19,10
EMP234,2021-05-16,ESP001,2021,20,11
